Function Name, Cumulative Stack Size, Branch Type
"vdec_process_amr_nb_modem(vdec_t*)",11696,Recursive
"vdec_process_amr_nb_if2(vdec_t*)",11664,Recursive
"VCAPI_AmrNBProcess(ICAPIVtbl*, CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",11624,Recursive
"F42watHHV2BCaaHQmVTH",11392,Closed
"fgvEncoder::voiced_encoder_fx(short*, short&)",11360,Recursive
"qc_loc_fw::LOWIWlanQmiClient::indicationCallback(qmi_client_struct*, unsigned int, void*, unsigned int, void*)",11288,Recursive
"fgvDecoder::decode_fx(short*, short, short, short*, short, short, short, short*, TTYDecStruct*, short)",11096,Recursive
"eamr_decode",10952,Recursive
"eamr_decoder_proc",10952,Recursive
"fgvDecoder::transient_decoder_fx(short*, short, short*)",10656,Recursive
"VCAPI_AmrWBProcess(ICAPIVtbl*, CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",10528,Recursive
"fgvDecoder::celp_decoder_fx(short*, short, int, short, short, short, short*)",10488,Recursive
"fgvDecoder::fer_processing_fx(short*, short, short, short, short, short, short*)",10400,Recursive
"eamr_Speech_Decode_Frame",10400,Recursive
"amrwb_enc_api",10384,Recursive
"amrwb_enc_main",10384,Recursive
"fgvDecoder::voiced_decoder_fx(short*, short, short, short, short, short, short*)",10376,Closed
"nJtCC_CTVUXn",10144,Recursive
"voice_wve_process(voice_wve_struct_t*, short*, short*, long, short, signed char)",9760,Recursive
"wve_process(short*, short*, void*, wvConfigStruct*)",9752,Closed
"kT8KfDTq74pH2X4TVDDaFmamT0t7Tf7_fHHFHt8Xnm4KfDOV7qXGF2n8HH",9728,Closed
"amrwb_coder",9384,Recursive
"ThR6zRcCXTV",9344,Closed
"ec_tx",9008,Closed
"DirectionRecognition",8640,Closed
"vdec_time_warping(vdec_t*, signed char*)",8632,Recursive
"TKnTzj_3qHqDpTK",8280,Closed
"_qzTjKTnqTTDH3Kpa",8280,Closed
"TnJtCKtoPPDCY",7672,Recursive
"TnJtCKtoPPDC0",7616,Recursive
"TnJtCDtoPPDC3",7600,Closed
"fgvEncoder::UB_enc_fx()",7576,Recursive
"FitCurve",7496,Closed
"TnJtCKtoPPDCi",7488,Closed
"fgvEncoder::declick_frame_fx(short*, short*, short*, short, short)",7440,Closed
"TnJtCXoaXtnC6",7312,Closed
"1Ttn8CHHSmXt4PTPnaXCVaTah",7288,Closed
"AudioStreamMgr_SessionCmdQAprPktHandler",7288,Recursive
"fgvDecoder::UB_unpack_dec_fx()",7288,Recursive
"XTnJtC2UCVDpTKHTdpo20a",7248,Closed
"AudioStreamMgr_OpenRxStreamCmdHandler",7240,Recursive
"fgvDecoder::noise_synthesis_fx(QUANTIZED_HB_fx, short*, short)",7208,Closed
"kT8KfDTq74iH2X4TVKMefDT17cTrSBQ_ksaTqzma9aDaFaTmp0t7Tf7_fHHFHt8Xnm4KfDOV7qXGF2n8HH",7208,Closed
"AudioStreamMgr_OpenPullModeRxStreamCmdHandler",7200,Recursive
"AudioStreamMgr_OpenSecondGaplessStream",7144,Recursive
"AudioStreamMgr_CreateDecSvc",7088,Recursive
"fgvEncoder::WB_EncParams_fx(PARAM_FRAME_4GVLB_fx*, short*, short*, UnQUANTIZED_HB_fx*, short*, short*, short)",7088,Closed
"fgvEncoder::music_encoder_fx()",6952,Recursive
"AudioDecSvc_Create",6896,Recursive
"JXPThq",6880,Closed
"fgvEncoder::celp_mdct_discriminator_fx(short*)",6856,Recursive
"nJtCiPtTCPo3",6808,Closed
"AudioDecSvc_CreateCAPIs",6784,Recursive
"AudioDecSvc_CreateDecCAPI(AudioDecSvc_t*, Dec_CAPI_Type, unsigned long, unsigned long, AudioDecSvcInitParams_t*, unsigned char, dec_init_time_get_params_t*)",6744,Recursive
"HaKDkT2q8TXH4VFTK4maDTaAPaDemHaC9Tt4h2X4FVn8HH",6704,Undetermined
"aClTHaVzCHHOanVCPnH2t4aVamTtDJ",6704,Undetermined
"TW_process(char*, char*, char*, TWCfgType*, TWDataType*, short)",6648,Undetermined
"tw_function_01(char*, char*, char*, TWCfgType*, TWDataType*, short)",6648,Undetermined
"fgvCommon::create_syn_excitation_fx(short*, short*, short*, short*, TRANS_MODEL_PARAMS_FX, short, short, short, short*)",6616,Recursive
"audio_dec_svc_create_init_auto_capi_v1",6608,Recursive
"CHnt81cTcHRzF4RPvtCTLz",6600,Closed
"AdmSvc_AprMsgHandler(void*, elite_msg_any_t*)",6600,Recursive
"a0DkTaTUHhTaI9HTn8HPP",6552,Closed
"audio_dec_svc_create_init_conv_capi_v1",6544,Recursive
"handle_capabilities_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",6520,Recursive
"handle_discovery_scan_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",6520,Recursive
"handle_wlan_state_query_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",6520,Recursive
"handle_snoop_scan_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",6520,Recursive
"handle_wlan_events_subscription_request(unsigned long, qmi_req_handle_struct*, unsigned int, void*, unsigned int, void*)",6520,Recursive
"hq2HVTtUn9",6480,Recursive
"CeAc3DecoderLib::CeAc3DecoderLib(int&)",6440,Recursive
"BDTICAPIInitMemory",6424,Recursive
"Adm_AprDeviceOpenCmdHandler(void*, aprv2_packet_t*)",6424,Recursive
"fgvCommon::gen_shaped_noise_fx(short*, short, short, short*, GEN_SHP_NOISE_fx*, short*)",6416,Closed
"T7f0DkTV84qH2X4aDpTmapa7TmFKfDTV84qH2X4DD3TTmF0t7Tf7_fHHFHt8Xnm4KfDOV7qXGF2n8HH",6408,Closed
"voice_proc_apr(void*, elite_msg_any_t*)",6400,Recursive
"VCAPI_V13kProcess(ICAPIVtbl*, CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",6392,Closed
"CeAc3DecoderLib::SetParam(int, int)",6376,Recursive
"BDTICAPISetParam",6352,Recursive
"FhTRHJj44QanKAHa",6344,Closed
"BDTICAPIInit",6304,Recursive
"RlTBhCqACVCn4H2t4",6304,Closed
"LRUDTrigger",6232,Closed
"SelectTriggerOn",6224,Closed
"handle_request(qmi_req_handle_struct*, unsigned int, qc_loc_fw::LOWIRequest*)",6224,Recursive
"qc_loc_fw::LOWIController::notifyResults(qc_loc_fw::LOWIMeasurementResult*)",6224,Recursive
"SelectTriggerOff",6216,Closed
"ThRC_CBBA7q",6216,Closed
"2hUUC8UTTaXHaP2TC4XC",6208,Recursive
"Gesture_ProximityDetector",6168,Closed
"MotionDetector",6168,Closed
"v13k_lvb_enc",6152,Closed
"vptx_aud_create",6128,Recursive
"vptx_create",6128,Recursive
"vprx_process_handler(void*)",6088,Recursive
"vptx_svc_create(void**, void**, unsigned short, unsigned short, unsigned long, unsigned long, unsigned long, unsigned long, signed char, int (*)(appi_proplist_t const*, unsigned long*), int (*)(appi_t*, unsigned char*, appi_format_t const*, appi_format_t*, appi_proplist_t*))",6064,Recursive
"vprx_modules_process(vprx_t*)",6056,Recursive
"vptx_reconfig_cmd(void*, elite_msg_any_t*)",6032,Recursive
"vptx_init(vptx_t*, unsigned short, unsigned short, unsigned long, unsigned long)",5984,Recursive
"appi_aig_process(appi_t*, appi_buflist_t const*, appi_buflist_t*, appi_buf_t*)",5968,Closed
"vptx_allocate_mem(vptx_t*)",5936,Recursive
"voice_aig_process",5936,Recursive
"CAigLib::Process(short*, short*, short*, short*, unsigned long)",5928,Closed
"qc_loc_fw::LOWIController::processMeasurementResults(qc_loc_fw::LOWIMeasurementResult*)",5928,Recursive
"qc_loc_fw::LOWIController::processRequest(qc_loc_fw::LOWIRequest*)",5912,Recursive
"ThTq27UU",5888,Recursive
"ThTqVUJU",5888,Recursive
"VCAPI_AmrWBProcess(ICAPIVtbl*, CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",5832,Recursive
"voice_wve_v2_process(voice_wve_v2_struct_t*, short*, short*, long, short, signed char)",5808,Recursive
"vptx_set_param_cmd(void*, elite_msg_any_t*)",5800,Recursive
"amrwb_dec_api",5800,Recursive
"amrwb_dec_main",5800,Recursive
"vptx_set_param_v3_cmd(void*, elite_msg_any_t*)",5760,Recursive
"efr_encoder",5760,Recursive
"UXGThq",5752,Closed
"vptx_modules_set_param(vptx_t*, unsigned long, unsigned long)",5752,Recursive
"wv_v2_process",5752,Closed
"vptx_get_delay_cmd(void*, elite_msg_any_t*)",5744,Recursive
"voice_ecns_init",5736,Recursive
"vptx_modules_set_param_end(vptx_t*)",5720,Recursive
"vptx_aggregate_modules_delay(vptx_t*)",5712,Recursive
"voice_ecns_cal_init",5704,Recursive
"voice_quartet_init(ecns_struct_t*)",5688,Recursive
"vptx_get_param_cmd(void*, elite_msg_any_t*)",5688,Recursive
"CUsGestureLib::Init(CAPI_Buf_t*)",5672,Recursive
"CUsProximityLib::Init(CAPI_Buf_t*)",5672,Recursive
"QcUsGestureLibInit",5656,Recursive
"QcUsProximityLibInit",5656,Recursive
"vptx_calibration_cb_func(cvd_cal_param_t*, void*)",5656,Recursive
"voice_ecns_get_delay",5656,Recursive
"vptx_modules_get_param(vptx_t*, voice_param_data_t*, unsigned short*)",5632,Recursive
"qc_loc_fw::LOWIController::sendEventsResponse(qc_loc_fw::LOWIRequest*, qc_loc_fw::LOWIMeasurementResult*)",5624,Recursive
"vptx_modules_set_param_int(vptx_t*, unsigned long, unsigned long, void*, unsigned long)",5616,Recursive
"qc_loc_fw::LOWIController::processRequestImmediately(qc_loc_fw::LOWIRequest*)",5608,Recursive
"voice_ecns_log_data",5608,Recursive
"vptx_qmi_ind_handler(void*)",5600,Recursive
"gsmhr_encode",5600,Closed
"voice_ecns_set_param",5600,Recursive
"voice_ecns_get_param",5592,Recursive
"voice_ecns_set_holding_pattern",5584,Recursive
"voice_ecns_set_vp3",5576,Recursive
"QuartetSetParam",5560,Closed
"voice_ecns_get_vp3",5560,Recursive
"voice_ecns_get_vp3_size",5560,Recursive
"QuartetGetParam",5544,Closed
"appi_downmix_process(appi_t*, appi_buflist_t const*, appi_buflist_t*, appi_buf_t*)",5424,Recursive
"appi_downmix_use_51mixer",5416,Recursive
"appi_downmix_51_to_mono",5408,Recursive
"appi_downmix_51_to_stereo",5344,Recursive
"qc_loc_fw::LOWIController::addRequestToEventsRequestList(qc_loc_fw::LOWIRequest*)",5328,Recursive
"qc_loc_fw::LOWIController::addRequestToAsyncScanRequestList(qc_loc_fw::LOWIRequest*)",5328,Recursive
"qc_loc_fw::LOWIController::issueRequest()",5320,Recursive
"wFThRCP8mBAaq",5320,Closed
"qc_loc_fw::LOWIController::sendResponse(qc_loc_fw::LOWIRequest&, qc_loc_fw::LOWIMeasurementResult*)",5312,Recursive
"fgvEncoder::celp_encoder_fx(int)",5296,Recursive
"fgvEncoder::jumptofullcelp_fx(short&)",5296,Recursive
"gsmhr_speechEncoder",5296,Closed
"CDownMixLib::Process(short*, short*, short*, short*, short*, short*, short*, short*, unsigned long)",5288,Closed
"1Ttn8CHHcHRzFv4F6Ra2CCTLz",5248,Closed
"_ThR4mPwaA8a",5248,Closed
"voice_ctm_rx_process",5192,Recursive
"retv_get_bulk",5184,Recursive
"CReverbLib::process(short*, short*, short*, short*, unsigned long)",5168,Closed
"ds1_chital_validate",5128,Recursive
"CUtHTaaHaP2TC4XC",5112,Recursive
"voice_ecns_get_size",5088,Recursive
"TPtH26XHtP7Ut2C",5080,Recursive
"C7fahnTXCVa",5056,Closed
"QuartetInit_WorstMemReq",5032,Closed
"qc_loc_fw::LOWIController::sendErrorResponse(qc_loc_fw::LOWIRequest&, qc_loc_fw::LOWIResponse::eScanStatus)",5016,Recursive
"fgvDecoder::music_decoder_fx(short*, short, short)",5008,Recursive
"qc_loc_fw::LOWIController::sendAsyncScanResponse(qc_loc_fw::LOWIRequest*, qc_loc_fw::LOWIMeasurementResult*)",5008,Recursive
"f8T77Tq34pH2X4TVD",5000,Closed
"QuartetInit",4976,Closed
"amrwb_decoder",4800,Recursive
"efr_Coder_12k2",4776,Recursive
"XC_XtcOCUCVT_nXJUCVntRC",4768,Closed
"gsmhr_aflat",4728,Closed
"qc_loc_fw::LOWIController::generateResponse(qc_loc_fw::LOWIRequest&, qc_loc_fw::LOWIMeasurementResult*)",4688,Recursive
"VCAPI_EvrcProcess(ICAPIVtbl*, CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",4672,Closed
"qVTJhPJ8U",4648,Closed
"qVTahnJIU",4648,Closed
"fgvDecoder::bad_rate_check(short, short*)",4640,Recursive
"v13k_encoder",4624,Closed
"voice_host_pcm_process",4512,Recursive
"evrc_encoder",4456,Closed
"H8t1HCnTPjFZ4tcvUCuLTpzz",4392,Closed
"fgvEncoder::ppp_quarter_encoder_fx(DTFS_fx*, short, DTFS_fx&, short*, DTFS_fx*, short*, short&, short*)",4392,Closed
"vptx_do_sample_slip_stuff_avc(vptx_t*, short*, short, unsigned short, short)",4384,Recursive
"hR6FhTCXCzVaCtmnUX",4360,Closed
"vptx_multi_ch_sample_slip_stuff(vptx_t*, short, near_far_t, unsigned char)",4352,Recursive
"appi_ss_process(appi_t*, appi_buflist_t const*, appi_buflist_t*, appi_buf_t*)",4352,Closed
"voice_ctm_tx_process",4336,Recursive
"appi_ss_call_lib(appi_ss_t*)",4328,Closed
"ss_process_gen_output(void*, short (*) [48], short (*) [48], unsigned long, unsigned long*, unsigned long*)",4312,Closed
"ss_process_gen_output_32(void*, long (*) [48], long (*) [48], unsigned long, unsigned long*, unsigned long*)",4312,Closed
"lowi_controller_thread(void*)",4272,Recursive
"HCHnt814cFTzcRtuvLPTFCz",4264,Closed
"chrd_parse_verify_file",4264,Recursive
"4VjOTzPGXyVRXCInC48vTVrrJC2UtPoVTtvX",4256,Closed
"voice_sample_slip_process(ss_struct_type_t*, short*, short*, short, short)",4256,Recursive
"samp_slip_process",4248,Closed
"imdct_fx(short*, short*, short*, short)",4240,Recursive
"samp_slip_ss4_multi_32",4240,Closed
"thTUn6XPaCnq2TC",4240,Recursive
"verify_signature_checked",4232,Recursive
"VjOyGz4VXPTC47SnaCrnt4nqVaJ",4208,Closed
"4mgF6VmCCEcTBA_q",4192,Closed
"KnTzj_DqqTT0H3",4184,Closed
"Tjz_nKTqTHTqD30a",4184,Closed
"UHBThR",4184,Closed
"CorrelationPowerNoDp",4176,Closed
"4V6mgmFlTBCCqACVCn4H2t4",4168,Closed
"hRCEcTBA_q",4160,Closed
"CHnt81PTOHJhVCCTR9PH2n",4136,Closed
"dts_hpx_license_validation_fn",4136,Recursive
"GtQTFr_OCTPFQ_TtCHFtnmJ",4112,Recursive
"HCHnt81JZjTr2FCKVJ_24te",4096,Closed
"UVJThq",4072,Closed
"tw_function_02(char*, char*, char*, TWCfgType*, TWDataType*, short)",4048,Undetermined
"qc_loc_fw::LOWIROMEWifiDriver::sendRequest(qc_loc_fw::LOWIRequest*)",3992,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::sendRequest(qc_loc_fw::LOWIRequest*)",3992,Recursive
"qc_loc_fw::LOWIController::getLOWIController()",3968,Recursive
"hRnOVTqVJH4V2BCSab",3968,Closed
"XatnhyTaqT7Dn2Cv",3960,Recursive
"fgvCommon::WIsyn_fx(DTFS_fx, DTFS_fx*, short*, short*, short*, short*, short, short*, short*, short*, short*)",3960,Closed
"ds1_rsa_pkcs1_verify",3952,Recursive
"XrF_aC_sXaHV6COy",3944,Recursive
"r_2_aFXzC4HhCZ_t4t",3944,Recursive
"TnJtC2VUXTeCKHTdpo2Da",3928,Closed
"fgvEncoder::ACELP_Code_fx(short*, short*, short*, int, short, int, short*, short*, short*, short*, int)",3920,Closed
"TnJtC2VUXTKCKHTDpo2Wa",3904,Closed
"v13k_psearch13",3904,Closed
"imdct_dst4_fx(short*, short*, short)",3896,Recursive
"CComfortNoise::Process(short*, short*, unsigned long, unsigned long)",3856,Recursive
"fgvEncoder::cod7_35_fx(short*, short*, short, short*, short*, short*, short*, short*)",3848,Closed
"fgvEncoder::cod7_35_wb_fx(short*, short*, short, short*, short*, short*, short*, short*)",3848,Closed
"TnJtC2VUXTdCKHTDpo2Ka",3840,Closed
"lvb_analysis",3800,Closed
"TnJtC2VUXT3CKHTDpo2Da",3792,Closed
"nJtC3XVTCTU2HpTKo2ia",3792,Closed
"V6mgmFtCT4VPmn",3752,Closed
"efr_code_10i40_35bits",3752,Closed
"2HnthXPTttHJ62UVT4Jf9",3728,Recursive
"venc_rec_buf_handler(void*)",3688,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::createInstance(unsigned long, qc_loc_fw::LOWIWifiDriverListener*, qc_loc_fw::LOWIResponse::eScanStatus*)",3672,Recursive
"venc_send_rec_buf_to_afe(venc_t*, qurt_elite_bufmgr_node_t*) (.constprop.9)",3632,Recursive
"mdct_fx(short*, short*, short*, short)",3600,Recursive
"HCHnt814ZjTFvFHuCa6LC2z",3552,Closed
"vptx_write_output(vptx_t*, signed char*, long)",3536,Recursive
"fgvDecoder::ppp_quarter_decoder_fx(short, short*, DTFS_fx*, short, short*, short*)",3536,Closed
"diag_handle_internal_sigs",3520,Recursive
"amrwb_ACELP_4t64_fx",3512,Recursive
"48nT_Qz",3504,Recursive
"diagpkt_fwd_cmd_reg",3504,Recursive
"72UThq",3496,Closed
"qc_loc_fw::LOWIAsyncDiscoveryScanResultResponse::LOWIAsyncDiscoveryScanResultResponse(unsigned long, unsigned long, qc_loc_fw::vector<QmiLowiDiscoveryResponseInd_v01*>)",3496,Recursive
"fKDkTHTq74X82a4TV3memfaagDem7TFrTrQcFqBT5zTj9",3496,Closed
"fgvCommon::gen_proto_wf_fx(short, short, short, short, short*)",3488,Closed
"qc_loc_fw::LOWIROMEWifiDriver::notifyResponse(wls_event_ind_msg_v01*, unsigned long)",3464,Recursive
"qc_loc_fw::LOWIROMEWifiDriver::notifyResponse(wls_scan_result_ind_msg_v01*, unsigned long)",3464,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::notifyResponse(wls_event_ind_msg_v01*, unsigned long)",3464,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::notifyResponse(wls_scan_result_ind_msg_v01*, unsigned long)",3464,Recursive
"ConTUUXqCJ",3456,Recursive
"fgvDecoder::celp_erasure_decoder_fx(short*, short, short, short, short, short*)",3456,Closed
"qc_loc_fw::LOWIROMEWifiDriver::notifyError(wls_err_ind_msg_v01*, unsigned long)",3456,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::notifyError(wls_err_ind_msg_v01*, unsigned long)",3456,Recursive
"lowi_connect_cb(qmi_client_handle_struct*, void*, void**)",3432,Recursive
"ACELP_4t64_core",3392,Closed
"SigVerify_start",3376,Recursive
"8t0BkTH2VU3Q3aPQc2Xmt8CQ4aVUXn42ojDQDXJUCVntRCmmaQm6PP",3344,Recursive
"diag_ctrl_send_msg_bt_mask_ctrl_pkt",3344,Recursive
"nt81FCHHZjTcutP4LCvz",3336,Closed
"q9XUTJJU2H",3336,Closed
"SigVerify_AuthWork",3328,Recursive
"diag_ctrl_send_event_id_ctrl_pkt",3328,Recursive
"diag_ctrl_send_feature_mask",3328,Recursive
"diag_ctrl_send_log_range_ctrl_pkt",3328,Recursive
"diag_ctrl_send_msg_ssid_range_ctrl_pkt",3328,Recursive
"diagcomm_ctrl_send_num_presets",3328,Recursive
"SigVerify_start_impl",3312,Recursive
"appi_eans_process",3312,Closed
"47TfoTfV4aC2avTHqCa6aT29",3280,Closed
"8t0BkTH2VU3Q3aPQc2Xmt8CQ4aVUXnt2oj3cDXV4XQ4XQUDQmCFTBDOcOcQBTZmQA_maQgmFd6m6TP",3280,Recursive
"fgvEncoder::ppp_full_encoder_fx(DTFS_fx*, DTFS_fx&, short*, short&, short*, short&, short*, short*)",3280,Closed
"FThRCAwwBArq",3272,Closed
"fgvDecoder::nelp_decoder_fx(short*, short, short, short, short*)",3224,Closed
"0BkT38UtV32QXa2HctQmV8aP4XQU1njCoY2OBt2wQm4Fre1TTFOcFQQrmBaTQ3QDQwjBQTzrrFSmrFTBDcDFBQjTwQQr0mBQTDFmT5TFMrZOQcBsQjBmFFTB0mD5jZMTTQrQBQBwQmrFZDKTOT1MBTOrcBsQDQmjFTBKTOT1MrZQQQwjBrQa",3208,Closed
"_init",3200,Recursive
"ctmrx_demodulate",3200,Recursive
"qc_loc_fw::LOWIDiscoveryScanResponse::LOWIDiscoveryScanResponse(unsigned long, unsigned long, qc_loc_fw::vector<QmiLowiDiscoveryResponseInd_v01*>)",3184,Recursive
"eans_process",3184,Closed
"qc_loc_fw::LOWIROMEWifiDriver::notifyError(qc_loc_fw::LOWIResponse::eScanStatus)",3176,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::notifyError(qc_loc_fw::LOWIResponse::eScanStatus)",3176,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::injectScanResults(unsigned long, qc_loc_fw::vector<QmiLowiDiscoveryResponseInd_v01*>&, wls_scan_result_ind_msg_v01&, qc_loc_fw::LOWIRequest*)",3176,Recursive
"diagcomm_ctrl_send_mult_pkt",3176,Recursive
"lib_qurt_init",3176,Recursive
"qc_loc_fw::LOWIROMEWifiDriver::LOWIROMEWifiDriver(qc_loc_fw::LOWIWifiDriverListener*, qc_loc_fw::LOWIWlanQmiClient*)",3168,Recursive
"diagcomm_process_ctrl",3168,Recursive
"diagcomm_process_inbound_ctrl_msg",3168,Recursive
"CReverbLib::reverb_process_stereo_out(short*, short*, short*, short*, CReverbLib::_revWrap, short)",3160,Closed
"ctm_ctm_receiver",3160,Recursive
"main",3152,Recursive
"qc_loc_fw::LOWIWifiDriverInterface::createErrorResult(qc_loc_fw::LOWIResponse::eScanStatus)",3144,Recursive
"amrwb_ACELP_2t64_fx",3144,Closed
"appi_srs_TruMedia_init",3144,Recursive
"qc_loc_fw::LOWIClientFactory::createClient(qmi_client_handle_struct*)",3136,Recursive
"appi_srs_TruMedia_core_init(appi_srs_TruMedia_struct*)",3112,Recursive
"elite_framework_start",3104,Recursive
"elite_framework_stop",3104,Recursive
"hhTRhya6H4CVS4TCow2nF8X3",3104,Closed
"gsmhr_flat",3064,Closed
"vocsvc_call",3064,Recursive
"cvp_call",3056,Recursive
"F6FTAVfuUCTl9HrCXVEC6a2n4",3040,Recursive
"gsmhr_openLoopLagSearch",3040,Closed
"CeAc3DecoderLib::Process(CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",3008,Recursive
"cvp_task",3008,Recursive
"eans_swb_synthesis_fb",3000,Closed
"fgvEncoder::MSencode3stg_fx(short*, short*, short*, short*, short*, short*, short, short, short, short, short, short const*, short const*, short const*)",2992,Recursive
"cvp_thread_process_gating_commands",2992,Recursive
"BDTICAPIProcess",2960,Recursive
"TkDTf7Kq44X82VHTadmemgaFfTaDDem7TFrTrQcFqBT5zTs9",2960,Closed
"mdct_dst4_fx(short*, short*, short, short*)",2936,Recursive
"ctm_tonedemod",2928,Recursive
"diag_qdi_invoke",2912,Recursive
"afe_pseudo_port_work_loop",2904,Recursive
"BDTICAPIProcessPurge",2896,Recursive
"qc_loc_fw::LOWIController::LOWIController()",2896,Recursive
"qc_loc_fw::LOWIDiscoveryScanRequest::getChannels(qc_loc_fw::vector<unsigned long>&)",2896,Recursive
"81cnHtHTCF6zFR4HvCu2LaTFCz",2888,Closed
